"condition","group","question","value","trial_index","ID","FastorSlow","measure"
"immoral",1,"Justin_Q7",6,7,"11","f","certainty"
"immoral",1,"Justin_Q8",NA,8,"11","f","certainty"
"immoral",1,"Justin_Q9",6,9,"11","f","impulsivity"
"immoral",1,"Justin_Q10",NA,10,"11","f","impulsivity"
"immoral",1,"Nate_Q1",NA,11,"11","s","quickness"
"immoral",1,"Nate_Q2",2,12,"11","s","character"
"immoral",1,"Nate_Q3",2,13,"11","s","character"
"immoral",1,"Nate_Q4",6,14,"11","s","character"
"immoral",1,"Nate_Q5",6,15,"11","s","certainty"
"immoral",1,"Nate_Q6",1,16,"11","s","certainty"
"immoral",1,"Nate_Q7",NA,17,"11","s","certainty"
"immoral",1,"Nate_Q8",6,18,"11","s","certainty"
"immoral",1,"Nate_Q9",2,19,"11","s","impulsivity"
"immoral",1,"Nate_Q10",NA,20,"11","s","impulsivity"
"immoral",1,"Justin_Q1",6,1,"12","f","quickness"
"immoral",1,"Justin_Q2",3,2,"12","f","character"
"immoral",1,"Justin_Q3",3,3,"12","f","character"
"immoral",1,"Justin_Q4",3,4,"12","f","character"
"immoral",1,"Justin_Q5",NA,5,"12","f","certainty"
"immoral",1,"Justin_Q6",6,6,"12","f","certainty"
"immoral",1,"Justin_Q7",6,7,"12","f","certainty"
"immoral",1,"Justin_Q8",NA,8,"12","f","certainty"
"immoral",1,"Justin_Q9",6,9,"12","f","impulsivity"
"immoral",1,"Justin_Q10",NA,10,"12","f","impulsivity"
"immoral",1,"Nate_Q1",NA,11,"12","s","quickness"
"immoral",1,"Nate_Q2",3,12,"12","s","character"
"immoral",1,"Nate_Q3",3,13,"12","s","character"
"immoral",1,"Nate_Q4",3,14,"12","s","character"
"immoral",1,"Nate_Q5",6,15,"12","s","certainty"
"immoral",1,"Nate_Q6",6,16,"12","s","certainty"
"immoral",1,"Nate_Q7",NA,17,"12","s","certainty"
"immoral",1,"Nate_Q8",6,18,"12","s","certainty"
"immoral",1,"Nate_Q9",NA,19,"12","s","impulsivity"
"immoral",1,"Nate_Q10",NA,20,"12","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"13","f","quickness"
"moral",1,"Justin_Q2",5,2,"13","f","character"
"moral",1,"Justin_Q3",5,3,"13","f","character"
"moral",1,"Justin_Q4",6,4,"13","f","character"
"moral",1,"Justin_Q5",NA,5,"13","f","certainty"
"moral",1,"Justin_Q6",6,6,"13","f","certainty"
"moral",1,"Justin_Q7",6,7,"13","f","certainty"
"moral",1,"Justin_Q8",NA,8,"13","f","certainty"
"moral",1,"Justin_Q9",6,9,"13","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"13","f","impulsivity"
"moral",1,"Nate_Q1",2,11,"13","s","quickness"
"moral",1,"Nate_Q2",4,12,"13","s","character"
"moral",1,"Nate_Q3",4,13,"13","s","character"
"moral",1,"Nate_Q4",6,14,"13","s","character"
"moral",1,"Nate_Q5",5,15,"13","s","certainty"
"moral",1,"Nate_Q6",3,16,"13","s","certainty"
"moral",1,"Nate_Q7",3,17,"13","s","certainty"
"moral",1,"Nate_Q8",2,18,"13","s","certainty"
"moral",1,"Nate_Q9",5,19,"13","s","impulsivity"
"moral",1,"Nate_Q10",NA,20,"13","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"14","f","quickness"
"moral",1,"Justin_Q2",6,2,"14","f","character"
"moral",1,"Justin_Q3",6,3,"14","f","character"
"moral",1,"Justin_Q4",6,4,"14","f","character"
"moral",1,"Justin_Q5",6,5,"14","f","certainty"
"moral",1,"Justin_Q6",NA,6,"14","f","certainty"
"moral",1,"Justin_Q7",3,7,"14","f","certainty"
"moral",1,"Justin_Q8",NA,8,"14","f","certainty"
"moral",1,"Justin_Q9",NA,9,"14","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"14","f","impulsivity"
"moral",1,"Nate_Q1",1,11,"14","s","quickness"
"moral",1,"Nate_Q2",3,12,"14","s","character"
"moral",1,"Nate_Q3",4,13,"14","s","character"
"moral",1,"Nate_Q4",4,14,"14","s","character"
"moral",1,"Nate_Q5",5,15,"14","s","certainty"
"moral",1,"Nate_Q6",3,16,"14","s","certainty"
"moral",1,"Nate_Q7",3,17,"14","s","certainty"
"moral",1,"Nate_Q8",2,18,"14","s","certainty"
"moral",1,"Nate_Q9",1,19,"14","s","impulsivity"
"moral",1,"Nate_Q10",1,20,"14","s","impulsivity"
"immoral",1,"Justin_Q1",6,1,"15","f","quickness"
"immoral",1,"Justin_Q2",NA,2,"15","f","character"
"immoral",1,"Justin_Q3",1,3,"15","f","character"
"immoral",1,"Justin_Q4",1,4,"15","f","character"
"immoral",1,"Justin_Q5",NA,5,"15","f","certainty"
"immoral",1,"Justin_Q6",6,6,"15","f","certainty"
"immoral",1,"Justin_Q7",6,7,"15","f","certainty"
"immoral",1,"Justin_Q8",NA,8,"15","f","certainty"
"immoral",1,"Justin_Q9",5,9,"15","f","impulsivity"
"immoral",1,"Justin_Q10",NA,10,"15","f","impulsivity"
"immoral",1,"Nate_Q1",NA,11,"15","s","quickness"
"immoral",1,"Nate_Q2",2,12,"15","s","character"
"immoral",1,"Nate_Q3",1,13,"15","s","character"
"immoral",1,"Nate_Q4",2,14,"15","s","character"
"immoral",1,"Nate_Q5",5,15,"15","s","certainty"
"immoral",1,"Nate_Q6",2,16,"15","s","certainty"
"immoral",1,"Nate_Q7",1,17,"15","s","certainty"
"immoral",1,"Nate_Q8",5,18,"15","s","certainty"
"immoral",1,"Nate_Q9",2,19,"15","s","impulsivity"
"immoral",1,"Nate_Q10",NA,20,"15","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"16","f","quickness"
"moral",1,"Justin_Q2",6,2,"16","f","character"
"moral",1,"Justin_Q3",6,3,"16","f","character"
"moral",1,"Justin_Q4",6,4,"16","f","character"
"moral",1,"Justin_Q5",NA,5,"16","f","certainty"
"moral",1,"Justin_Q6",5,6,"16","f","certainty"
"moral",1,"Justin_Q7",6,7,"16","f","certainty"
"moral",1,"Justin_Q8",NA,8,"16","f","certainty"
"moral",1,"Justin_Q9",1,9,"16","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"16","f","impulsivity"
"moral",1,"Nate_Q1",NA,11,"16","s","quickness"
"moral",1,"Nate_Q2",5,12,"16","s","character"
"moral",1,"Nate_Q3",5,13,"16","s","character"
"moral",1,"Nate_Q4",5,14,"16","s","character"
"moral",1,"Nate_Q5",3,15,"16","s","certainty"
"moral",1,"Nate_Q6",5,16,"16","s","certainty"
"moral",1,"Nate_Q7",2,17,"16","s","certainty"
"moral",1,"Nate_Q8",6,18,"16","s","certainty"
"moral",1,"Nate_Q9",NA,19,"16","s","impulsivity"
"moral",1,"Nate_Q10",NA,20,"16","s","impulsivity"
"moral",1,"Justin_Q1",6,1,"17","f","quickness"
"moral",1,"Justin_Q2",6,2,"17","f","character"
"moral",1,"Justin_Q3",6,3,"17","f","character"
"moral",1,"Justin_Q4",6,4,"17","f","character"
"moral",1,"Justin_Q5",NA,5,"17","f","certainty"
"moral",1,"Justin_Q6",6,6,"17","f","certainty"
"moral",1,"Justin_Q7",6,7,"17","f","certainty"
"moral",1,"Justin_Q8",NA,8,"17","f","certainty"
"moral",1,"Justin_Q9",6,9,"17","f","impulsivity"
"moral",1,"Justin_Q10",NA,10,"17","f","impulsivity"
"moral",1,"Nate_Q1",NA,11,"17","s","quickness"
"moral",1,"Nate_Q2",3,12,"17","s","character"
"moral",1,"Nate_Q3",3,13,"17","s","character"
"moral",1,"Nate_Q4",4,14,"17","s","character"
"moral",1,"Nate_Q5",6,15,"17","s","certainty"
"moral",1,"Nate_Q6",3,16,"17","s","certainty"
"moral",1,"Nate_Q7",NA,17,"17","s","certainty"
"moral",1,"Nate_Q8",6,18,"17","s","certainty"
"moral",1,"Nate_Q9",3,19,"17","s","impulsivity"
"moral",1,"Nate_Q10",NA,20,"17","s","impulsivity"
"immoral",1,"Justin_Q1",6,1,"18","f","quickness"
